Gene	Entry	ID
BST1	A0A2K3CTN0	Cre16.g662600.t1.2
BST2	A0A2K3CTQ2	Cre16.g663400.t2.1
BST3	A0A2K3CTP3	Cre16.g663450.t1.2
AtBest1	Q9M2D2	At3g61320
AtBest2	O80832	At2g45870
KpBest	A0A0H3GQ79
AnBEST2	Q5BB29
AnBEST1	Q5AXS1
bBEST2	E1BF86
hBEST1	O76090
hBEST2	Q8NFU1
hBEST3	Q8N1M1
hBEST4	Q8NFU0
cBEST1	E1C3A0
dBest1	Q9V3J6
xBest-2b	Q7ZZK4
